GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CDI Features,io.github.jonasrutishauser.cdi.features,NoSelectedFeatureException,2,41,2,4,0,9,2,6,0,5
CDI Features,io.github.jonasrutishauser.cdi.features,Selector,0,3,0,0,0,1,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features,ThrowableSelector,0,11,0,0,0,4,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension,16,744,2,84,3,145,2,74,0,33
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache,0,124,1,19,0,25,1,13,0,4
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension,16,628,1,69,3,115,1,62,0,28
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator,0,180,0,8,0,32,0,11,0,7
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesExtension.new TypeLiteral() {...},0,3,0,0,0,1,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,ConfigurationSelector,0,38,1,3,0,8,1,4,0,3
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances,0,125,2,8,0,31,2,10,0,7
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureCreator.new FeatureCreator.Lookup() {...},0,29,0,2,0,5,0,3,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache.CacheEntry,0,14,0,0,0,5,0,1,0,1
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeaturesBuildCompatibleExtension.ScopeStop,0,10,0,0,0,3,0,2,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureHolder,5,55,3,5,1,18,3,6,0,5
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureContext,8,95,3,7,2,24,3,12,0,10
CDI Features,io.github.jonasrutishauser.cdi.features.impl,ArcFeatureCreator,0,34,0,0,0,4,0,3,0,3
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.new ContextualSelector.Context() {...},0,21,0,0,0,3,0,3,0,3
CDI Features,io.github.jonasrutishauser.cdi.features.impl,Cache.Selection,0,27,0,2,0,3,0,3,0,2
CDI Features,io.github.jonasrutishauser.cdi.features.impl,FeatureInstances.ProperyResolver,0,10,0,0,0,2,0,1,0,1
